CUST_ID,ACC_NO,CUST_NAME,CUST_GENDER,CUST_ADDRESS,CUST_CITY,CUST_STATE,CUST_DOB,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS
98000111,9571867574,Tushar Sharma,Male,"199, MAIN MRKT, CHIRAG DELHI, DELHI - 110017",New Delhi,New Delhi,33710,Tushar.Sharma1638@gmail.com,9557028974,RGMHF4235W,Single,51603,shankarlal s/o sukharam,sansoi
98000112,1761325298,Manjeet Kaur,Female,"19th Floor, Tower, DLF Cyber Terraces DLF Cyber City, Phase-3, Gurgaon-122002",Gurugram,Faridabad,34661,Manjeet.Kaur512@gmail.com,8951573231,HFZMN1928R,Single,99970,rahul sharma,ajmee
98000113,1761768456,Meenakshi,Female,"19th Floor, Tower A, Building No. 5 | DLF Cyber Terraces, DLF Cyber City | Phase 3 | Gurgaon 122002, Haryana, India",Gurugram,Faridabad,33176,Meenakshi.1585@gmail.com,8017008652,VPUXI3784Z,Married,68711,neeraj kishore,ajmee
98000114,5908787084,Jagdeep Patel,Male,"1-A, Fateh Nagar, Surya Nagar, Tonk Road, Jaipur - 302015",Jaipur,Rajasthan,32619,Jagdeep.Patel368@gmail.com,7924131705,HPOGB2901H,Divorced,54056,ishwar,sansoi
98000115,9571824162,Ketan Bhagwani,Male,"1-B DDA Market DB Block Hari Nager,Opp I.T.I Institute,New Delhi-110064",New Delhi,New Delhi,35725,Ketan.Bhagwani1199@gmail.com,9579090544,RWSQF2375K,Single,88593,bilal,meema
98000116,1741637747,Mohit Kulkarni,Male,"1C- 102, NIT, Faridabad, Haryana",Faridabad,Haryana,36481,Mohit.Kulkarni957@gmail.com,7310450291,NYOIQ2076N,Single,48564,ravi parkash solanki,meema
98000117,2755986226,Manish Sundriyal,Male,"1st floor, Above Uphar Kendra, Bajaja Line, Ramnagar, Dist. Nainital",Nainital,Uttarakhand,33868,Manish.Sundriyal1856@gmail.com,7358945935,FZDRM7840B,Married,77519,rohit kumar tiwari,mitcha
98000118,9571915878,Gopal Shekhawat,Male,"1st Floor, Bhanot House, 17 Community Center, Gulmohar Enclave Extn, New delhi",New Delhi,New Delhi,35458,Gopal.Shekhawat973@gmail.com,7495860292,IYUFX2604Q,Divorced,85776,pramod,sadban
98000119,6258830522,Anil Sharma,Male,"1ST FLOOR, HOTEL MANZIL, NEAR BUS STAND, LUDHIANA - 141002",Ludhiana,Punjab,35902,Anil.Sharma452@gmail.com,7289324331,QYABE7983N,Married,66520,manjeet kumar,mitcha
98000120,8153888264,Ajay Kumar,Male,"1ST FLOOR, NANAK BUILDING, OPP. NEHRU SHOPPING COMPLEX, LAWRENCE ROAD, AMRITSAR - 143001",Amritsar,Punjab,35289,Ajay.Kumar312@gmail.com,7075209588,TGHQW5362E,Divorced,791,vimal kumar,eemja
98000121,6258026355,Harsh Wardhan,Male,"1ST FLOOR, NANKANA SAHIB COMPLEX, NEW JAWAHAR NAGAR, OPP. BUS STAND, LUDHIANA - 141002",Ludhiana,Punjab,34590,Harsh.Wardhan482@gmail.com,7767841485,TQSUB3587T,Married,70394,vijay,subje
98000122,9571102056,Charu Kumar,Female,"1st Floor, Plot No. 56, Rama Road Industrial Area",New Delhi,New Delhi,34649,Charu.Kumar887@gmail.com,8849818945,PMCYE7904A,Married,75864,abbas mehndi,subje
98000123,9571945016,Naveen Kumar,Male,"1st Floor, Somdutt Chambers-2, 9 Bhikaji Cama Place, New Delhi",New Delhi,New Delhi,32917,Naveen.Kumar1032@gmail.com,8709253230,HYFDX5260M,Single,36103,omprkash,sansoi
98000124,7323995522,Kuntal Dey,Male,"1st FLOOR,BHAN COMPLEX, OPP.HATHI GATE, COURT ROAD, SAHARANPUR-247001",Saharanpur,Uttar Pradesh,33688,Kuntal.Dey970@gmail.com,8623407677,SYNBR5216Q,Married,25372,deepak rathore,ajmee
98000125,5155111586,Sandeep Jain,Male,"2, Danbro House, F-22, Sector 18 Noida",Noida,Uttar Pradesh,32289,Sandeep.Jain757@gmail.com,7733470130,MJPDH8542Y,Married,79622,masoom,subje
98000126,9571861210,Amit Kr. Srivastasva,Male,"2, Oberoi House, IInd Floor, Local Shopping Complex, Karampura, New Moti Nagar, New Delhi",New Delhi,New Delhi,32442,Amit.Kr.87@gmail.com,8322941157,AJOBN2314C,Married,75265,deepak kamat,subje
98000127,9571055977,Deepak Sethi,Male,"2, Sai Ashirwad, Sectore-15, Near Rly Station, Nerul (E) , Navi Mumbai- 400 706",New Delhi,New Delhi,32702,Deepak.Sethi263@gmail.com,9115648458,NDGCS2690B,Single,99557,ajay @ ajju,mitcha
98000128,9571678357,B K Bharti,Male,"2/15, second floor, west patel nagar, New Delhi",New Delhi,New Delhi,33667,B.K1821@gmail.com,7626448978,FQPKE1230I,Married,39029,abhishek,mitcha
98000129,9571686136,Akshay Jain,Male,"2/5, Ansari Road, Daryanj, New dElhi-02",New Delhi,New Delhi,32902,Akshay.Jain1783@gmail.com,8429823841,NQKDM3692W,Married,82995,toquir ali,ajmee
98000130,9571959424,Rajiv Jain,Male,"20 A, Pocket B, Hari Nagar, New Delhi",New Delhi,New Delhi,33066,Rajiv.Jain1444@gmail.com,7177343768,QMKPL2498D,Single,33693,shyam sundra,namad
98000131,9571461528, Vikrant Verma,Male,"20 -C DDA Market, Rajdhani Enclave, New Delhi - 110034",New Delhi,New Delhi,36444, Vikrant.Verma219@gmail.com,9335300625,PMCZE9437R,Single,78094,ankit,vinit
98000132,9571562406,Jitender Chauhan ,Male,"20, AD Market, LSC, Shalimar Bagh, New Delhi",New Delhi,New Delhi,32918,Jitender.Chauhan 314@gmail.com,8438862326,XLPFW7340T,Married,52082,sarthak dadwal,namad
98000133,9571192784,Ashish Wadhera,Male,"20, rectangle 1, d-4, district center, saket, new delhi",New Delhi,New Delhi,34418,Ashish.Wadhera1209@gmail.com,7575831472,SMQRH7823Q,Divorced,5832,armaan @ suvalin,eemja
98000134,9571375480,Akhilesh Kala,Male,"200/202, Rajlaxmi Bhavan, Perin Nariman Street, Bazaar ,Gate, Fort, Mumbai - 400001.",New Delhi,New Delhi,34876,Akhilesh.Kala105@gmail.com,8486091446,YIUQG1749V,Married,17751,kunal kishore,vinit
98000135,9571972436,Jitin Bajaj,Male,"201 N Block, BMC House, Middle Circle,Connaught Place",New Delhi,New Delhi,35034,Jitin.Bajaj1691@gmail.com,7562558394,SDTKJ8534K,Divorced,94185,nabav shekh,vinit
98000136,9571153051,Deepak Modgill,Male,"201, Local Shopping Complex, Derawal Nagar, New Delhi",New Delhi,New Delhi,35298,Deepak.Modgill1059@gmail.com,8332856422,DARZC4861Y,Single,82421,ravindra kumar,vinit
98000137,4233615088,Tanwir,Male,"201-202, 2nd Floor, Abhijeet-4 Navrangpura, Ahmedabad-380006",Ahmedabad,Gujarat,33157,Tanwir.1405@gmail.com,9694174107,TUKGQ9607O,Married,14945,viney parkash,subje
98000138,9571427003,Kanishk Karn,Male,"201-202, PP Trade Center, Netaji Subhash Place, Pitampura",New Delhi,New Delhi,33466,Kanishk.Karn1438@gmail.com,9796890263,JKRVO3820P,Married,14705,ram parkash teneja,ajmee
98000139,9571417404,Harsh Vajpai,Male,"202 - 203, IIND FLOOR VARDHMAN DEE CEE PLAZA, PLOT NO.6(NEAR BY AKASH INSTITUTE) SECTOR -11 MKT. DWARKA, NEW DELHI - 110075",New Delhi,New Delhi,36252,Harsh.Vajpai1028@gmail.com,9754441063,QAELB6725V,Married,46467,prem pal,sansoi
98000140,9571997155,Yogendra Verma,Male,"202 Nirmal Tower, barakhamba Road, New Delhi",New Delhi,New Delhi,35223,Yogendra.Verma1040@gmail.com,8694736533,NLWYT7205T,Single,93226,dhramender,subje
98000141,9571513634,Rashmi Rauthan,Female,"202, 2nd floor, Nirmal Tower, 26 Barakhamba Road, Connaught Place, New Delhi",New Delhi,New Delhi,32549,Rashmi.Rauthan638@gmail.com,9949604177,TLNKX7450Z,Single,78198,sunil,subje
98000142,1761304016,Manoranjan Das,Male,"202, Bestech Chambers, B Block, Sushant Lok-1, Gurgaon",Gurugram,Haryana,33638,Manoranjan.Das1124@gmail.com,8052906620,WKVBE9205D,Single,1889,swami nathan,ajmee
98000143,9571929696,Abhishek Tiwari,Male,"203 F/1, Rajendra Avenue, Uttarpara Hooghly",New Delhi,New Delhi,36298,Abhishek.Tiwari1494@gmail.com,7121148690,LOVJC8921S,Single,46161,rakesh panday,arjga
98000144,9571386891,Ajay Dhar,Male,"203 Skytech Magadh, Sector-3,VAISHALI, Delhi/NCR, INDIA",New Delhi,New Delhi,32150,Ajay.Dhar1535@gmail.com,8867266573,EJBTS8621Q,Divorced,97597,krishana,sansoi
98000145,9571865815,Arjun,Male,"203, Ansal Classique Tower, J Block Rajouri Garden, New Delhi",New Delhi,New Delhi,34002,Arjun.316@gmail.com,7849769233,QOEGA1468O,Divorced,89643,suraj kumar,rajshi
98000146,8370355046,Alok Lepcha,Male,"203, Corporate Avenue | Sonawala Road I Near Udyog Bhawan , Goregaon - East | Mumbai | India - 400063",Mumbai,Maharashtra,32730,Alok.Lepcha775@gmail.com,7907761476,LOXJC4325G,Single,46046,deepak,mitcha
98000147,9571479270,Anu Zutshi,Female,"203, IInd Floor, Rishabh Corporate Tower, Plot No.16 Karkardooma Community Centre, Opp: Hargobind Enclave Delhi -India, Near: Karkardooma Metro Station",New Delhi,New Delhi,32833,Anu.Zutshi20@gmail.com,9671859667,AMXDN7120H,Divorced,26250,ajay kumar,subje
98000148,9571940057,Shiv Gurjar,Male,"203, New Delhi House, 27 Barakhamba Road, New Delhi",New Delhi,New Delhi,34873,Shiv.Gurjar307@gmail.com,8578375215,ASIYD9017D,Married,86727,sonali,vinit
98000149,9571530177,Uzair Khan,Male,"203, New Delhi House, 27 Barakhamba Road, New Delhi - 110001",New Delhi,New Delhi,32435,Uzair.Khan940@gmail.com,7909974998,LXTUA5084R,Single,74011,piyush,subje
